id,release_date,movie,production_budget,domestic_gross,worldwide_gross
1,18-Dec-09,Avatar,"$425,000,000 ","$760,507,625 ","$2,776,345,279 "
2,20-May-11,Pirates of the Caribbean: On Stranger Tides,"$410,600,000 ","$241,063,875 ","$1,045,663,875 "
3,7-Jun-19,Dark Phoenix,"$350,000,000 ","$42,762,350 ","$149,762,350 "
4,1-May-15,Avengers: Age of Ultron,"$330,600,000 ","$459,005,868 ","$1,403,013,963 "
5,15-Dec-17,Star Wars Ep. VIII: The Last Jedi,"$317,000,000 ","$620,181,382 ","$1,316,721,747 "
6,18-Dec-15,Star Wars Ep. VII: The Force Awakens,"$306,000,000 ","$936,662,225 ","$2,053,311,220 "
7,27-Apr-18,Avengers: Infinity War,"$300,000,000 ","$678,815,482 ","$2,048,134,200 "
8,24-May-07,Pirates of the Caribbean: At Worldâs End,"$300,000,000 ","$309,420,425 ","$963,420,425 "
9,17-Nov-17,Justice League,"$300,000,000 ","$229,024,295 ","$655,945,209 "
10,6-Nov-15,Spectre,"$300,000,000 ","$200,074,175 ","$879,620,923 "
11,20-Jul-12,The Dark Knight Rises,"$275,000,000 ","$448,139,099 ","$1,084,439,099 "
12,25-May-18,Solo: A Star Wars Story,"$275,000,000 ","$213,767,512 ","$393,151,347 "
13,2-Jul-13,The Lone Ranger,"$275,000,000 ","$89,302,115 ","$260,002,115 "
14,9-Mar-12,John Carter,"$275,000,000 ","$73,058,679 ","$282,778,100 "
15,24-Nov-10,Tangled,"$260,000,000 ","$200,821,936 ","$586,477,240 "
16,4-May-07,Spider-Man 3,"$258,000,000 ","$336,530,303 ","$894,860,230 "
17,6-May-16,Captain America: Civil War,"$250,000,000 ","$408,084,349 ","$1,140,069,413 "
18,25-Mar-16,Batman v Superman: Dawn of Justice,"$250,000,000 ","$330,360,194 ","$867,500,281 "
19,14-Dec-12,The Hobbit: An Unexpected Journey,"$250,000,000 ","$303,003,568 ","$1,017,003,568 "
20,15-Jul-09,Harry Potter and the Half-Blood Prince,"$250,000,000 ","$302,089,278 ","$935,213,767 "
21,13-Dec-13,The Hobbit: The Desolation of Smaug,"$250,000,000 ","$258,366,855 ","$960,366,855 "
22,17-Dec-14,The Hobbit: The Battle of the Five Armies,"$250,000,000 ","$255,119,788 ","$945,577,621 "
23,14-Apr-17,The Fate of the Furious,"$250,000,000 ","$225,764,765 ","$1,234,846,267 "
24,28-Jun-06,Superman Returns,"$232,000,000 ","$200,120,000 ","$374,085,065 "
25,26-May-17,Pirates of the Caribbean: Dead Men Tell No Tales,"$230,000,000 ","$172,558,876 ","$788,241,137 "
26,14-Nov-08,Quantum of Solace,"$230,000,000 ","$169,368,427 ","$591,692,078 "
27,4-May-12,The Avengers,"$225,000,000 ","$623,279,547 ","$1,517,935,897 "
28,7-Jul-06,Pirates of the Caribbean: Dead Manâs Chest,"$225,000,000 ","$423,315,812 ","$1,066,215,812 "
29,14-Jun-13,Man of Steel,"$225,000,000 ","$291,045,518 ","$667,999,518 "
30,16-May-08,The Chronicles of Narnia: Prince Caspian,"$225,000,000 ","$141,621,490 ","$417,341,288 "
31,3-Jul-12,The Amazing Spider-Man,"$220,000,000 ","$262,030,663 ","$757,890,267 "
32,18-May-12,Battleship,"$220,000,000 ","$65,233,400 ","$313,477,717 "
33,21-Jun-17,Transformers: The Last Knight,"$217,000,000 ","$130,168,683 ","$602,893,340 "
34,12-Jun-15,Jurassic World,"$215,000,000 ","$652,270,625 ","$1,648,854,864 "
35,25-May-12,Men in Black 3,"$215,000,000 ","$179,020,854 ","$654,213,485 "
36,24-Jun-09,Transformers: Revenge of the Fallen,"$210,000,000 ","$402,111,870 ","$836,519,699 "
37,27-Jun-14,Transformers: Age of Extinction,"$210,000,000 ","$245,439,076 ","$1,104,039,076 "
38,26-May-06,X-Men: The Last Stand,"$210,000,000 ","$234,362,462 ","$459,260,946 "
39,14-May-10,Robin Hood,"$210,000,000 ","$105,487,148 ","$322,459,006 "
40,14-Dec-05,King Kong,"$207,000,000 ","$218,080,025 ","$550,517,357 "
41,7-Dec-07,The Golden Compass,"$205,000,000 ","$70,107,728 ","$367,262,558 "
42,16-Feb-18,Black Panther,"$200,000,000 ","$700,059,566 ","$1,348,258,224 "
43,19-Dec-97,Titanic,"$200,000,000 ","$659,363,944 ","$2,208,208,395 "
44,15-Jun-18,Incredibles 2,"$200,000,000 ","$608,581,744 ","$1,242,520,711 "
45,16-Dec-16,Rogue One: A Star Wars Story,"$200,000,000 ","$532,177,324 ","$1,049,102,856 "
46,17-Jun-16,Finding Dory,"$200,000,000 ","$486,295,561 ","$1,021,215,193 "
47,18-Jun-10,Toy Story 3,"$200,000,000 ","$415,004,880 ","$1,068,879,522 "
48,3-May-13,Iron Man 3,"$200,000,000 ","$408,992,272 ","$1,215,392,272 "
49,5-May-17,Guardians of the Galaxy Vol 2,"$200,000,000 ","$389,813,101 ","$862,316,233 "
50,30-Jun-04,Spider-Man 2,"$200,000,000 ","$373,524,485 ","$795,110,670 "
51,5-Mar-10,Alice in Wonderland,"$200,000,000 ","$334,191,110 ","$1,025,491,110 "
52,8-Nov-12,Skyfall,"$200,000,000 ","$304,360,277 ","$1,110,526,981 "
53,21-Jun-13,Monsters University,"$200,000,000 ","$268,488,329 ","$743,588,329 "
54,8-Mar-13,Oz the Great and Powerful,"$200,000,000 ","$234,770,996 ","$490,359,051 "
55,23-May-14,X-Men: Days of Future Past,"$200,000,000 ","$233,921,534 ","$747,862,775 "
56,2-May-14,The Amazing Spider-Man 2,"$200,000,000 ","$202,853,933 ","$708,996,336 "
57,24-Jun-11,Cars 2,"$200,000,000 ","$191,450,875 ","$560,155,383 "
58,17-Dec-10,Tron: Legacy,"$200,000,000 ","$172,062,763 ","$400,062,763 "
59,13-Nov-09,2012,"$200,000,000 ","$166,112,167 ","$757,677,748 "
60,16-Nov-18,Fantastic Beasts: The Crimes of Grindelwald,"$200,000,000 ","$159,555,901 ","$652,220,086 "
61,21-May-09,Terminator Salvation,"$200,000,000 ","$125,322,469 ","$365,491,792 "
62,17-Jun-11,Green Lantern,"$200,000,000 ","$116,601,172 ","$219,535,492 "
63,28-May-10,Prince of Persia: Sands of Time,"$200,000,000 ","$90,759,676 ","$336,359,676 "
64,29-Jun-11,Transformers: Dark of the Moon,"$195,000,000 ","$352,390,543 ","$1,123,790,543 "
65,9-Jun-17,The Mummy,"$195,000,000 ","$80,101,125 ","$409,953,905 "
66,1-Mar-13,Jack the Giant Slayer,"$195,000,000 ","$65,187,603 ","$197,687,603 "
67,3-Apr-15,Furious 7,"$190,000,000 ","$353,007,020 ","$1,518,722,794 "
68,16-May-13,Star Trek Into Darkness,"$190,000,000 ","$228,778,661 ","$467,381,584 "
69,21-Jun-13,World War Z,"$190,000,000 ","$202,359,711 ","$531,514,650 "
70,10-May-13,The Great Gatsby,"$190,000,000 ","$144,840,419 ","$351,040,419 "
71,6-Nov-09,Disneyâs A Christmas Carol,"$190,000,000 ","$137,855,863 ","$315,709,697 "
72,12-Jul-13,Pacific Rim,"$190,000,000 ","$101,802,906 ","$411,002,906 "
73,25-Nov-15,The Good Dinosaur,"$187,500,000 ","$123,087,120 ","$333,771,037 "
74,2-May-08,Iron Man,"$186,000,000 ","$318,604,126 ","$585,171,547 "
75,18-Jul-08,The Dark Knight,"$185,000,000 ","$533,720,947 ","$1,001,996,207 "
76,22-May-08,Indiana Jones and the Kingdom of the Crystal Skull,"$185,000,000 ","$317,101,119 ","$786,635,413 "
77,22-Jun-12,Brave,"$185,000,000 ","$237,282,182 ","$554,606,532 "
78,10-Mar-17,Kong: Skull Island,"$185,000,000 ","$168,052,812 ","$561,072,059 "
79,22-Jul-16,Star Trek Beyond,"$185,000,000 ","$158,848,340 ","$335,802,233 "
80,6-Oct-17,Blade Runner 2049,"$185,000,000 ","$92,054,159 ","$259,357,408 "
81,24-May-19,Aladdin,"$182,000,000 ","$246,734,314 ","$619,234,314 "
82,3-Nov-17,Thor: Ragnarok,"$180,000,000 ","$315,058,289 ","$846,980,024 "
83,9-Dec-05,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$180,000,000 ","$291,710,957 ","$720,539,572 "
84,30-May-14,Maleficent,"$180,000,000 ","$241,407,328 ","$758,536,735 "
85,18-Nov-16,Fantastic Beasts and Where to Find Them,"$180,000,000 ","$234,037,575 ","$802,402,853 "
86,27-Jun-08,WALL-E,"$180,000,000 ","$223,808,164 ","$532,508,025 "
87,10-Aug-07,Rush Hour 3,"$180,000,000 ","$140,125,968 ","$256,585,882 "
88,1-Jul-16,The Legend of Tarzan,"$180,000,000 ","$126,643,061 ","$348,902,025 "
89,23-Nov-11,Hugo,"$180,000,000 ","$73,864,507 ","$180,047,784 "
90,21-Jul-17,Valerian and the City of a Thousand Planets,"$180,000,000 ","$40,479,370 ","$215,098,356 "
91,6-Feb-15,Jupiter Ascending,"$179,000,000 ","$47,482,519 ","$181,982,519 "
92,27-Jul-18,Mission: ImpossibleâFallout,"$178,000,000 ","$220,159,104 ","$787,456,552 "
93,27-May-16,X-Men: Apocalypse,"$178,000,000 ","$155,442,489 ","$542,537,546 "
94,10-Aug-18,The Meg,"$178,000,000 ","$145,443,742 ","$529,530,715 "
95,6-Jun-14,Edge of Tomorrow,"$178,000,000 ","$100,206,256 ","$370,541,256 "
96,8-Mar-19,Captain Marvel,"$175,000,000 ","$426,525,952 ","$1,123,061,550 "
97,15-Apr-16,The Jungle Book,"$175,000,000 ","$364,001,123 ","$962,854,547 "
98,19-Jun-15,Inside Out,"$175,000,000 ","$356,461,711 ","$854,235,992 "
99,7-Jul-17,Spider-Man: Homecoming,"$175,000,000 ","$334,201,140 ","$880,166,350 "
100,5-Aug-16,Suicide Squad,"$175,000,000 ","$325,100,054 ","$746,059,887 "
1,29-May-09,Up,"$175,000,000 ","$293,004,164 ","$731,463,377 "
2,22-Nov-17,Coco,"$175,000,000 ","$209,726,015 ","$798,008,101 "
3,21-Nov-18,Ralph Breaks The Internet,"$175,000,000 ","$201,091,711 ","$524,283,695 "
4,27-Mar-09,Monsters vs. Aliens,"$175,000,000 ","$198,351,526 ","$381,687,380 "
5,16-Jun-17,Cars 3,"$175,000,000 ","$152,901,115 ","$383,541,369 "
6,7-Aug-09,G.I. Joe: The Rise of Cobra,"$175,000,000 ","$150,201,498 ","$302,469,017 "
7,30-Jun-99,Wild Wild West,"$175,000,000 ","$113,805,681 ","$221,229,335 "
8,1-Aug-08,The Mummy: Tomb of the Dragon Emperor,"$175,000,000 ","$102,491,776 ","$405,760,225 "
9,22-Jun-07,Evan Almighty,"$175,000,000 ","$100,289,690 ","$174,131,329 "
10,28-Jul-95,Waterworld,"$175,000,000 ","$88,246,220 ","$264,246,220 "
11,12-May-17,King Arthur: Legend of the Sword,"$175,000,000 ","$39,175,066 ","$139,630,336 "
12,25-Dec-13,47 Ronin,"$175,000,000 ","$38,362,475 ","$151,716,815 "
13,22-Jun-18,Jurassic World: Fallen Kingdom,"$170,000,000 ","$417,719,760 ","$1,305,772,799 "
14,1-Aug-14,Guardians of the Galaxy,"$170,000,000 ","$333,172,112 ","$770,867,516 "
15,7-May-10,Iron Man 2,"$170,000,000 ","$312,433,331 ","$621,156,389 "
